file,size_kb,ptx_version,sm_target,kernel_count,total_static_instructions,unique_opcodes,max_vreg_per_kernel,shared_mem_max_bytes,l2_pressure_score,l2_contention_risk,coalescing_ratio,shared_to_global_ratio,arithmetic_intensity,atomic_density_per1k,primary_domain,compute,memory,overhead,ld_global,st_global,ld_shared,st_shared,atom_global,red_global,cp_async,vector_ld,coalesced_patterns,uncoalesced_patterns,shared_bank_risk,predicated_branches
00031_fused_linear_relu_optimized_base.ptx,7.1,8.5,sm_87,1,130,24,67,0,4,LOW,1.0,8.5,1.132,0.0,AI_TRAINING,51,45,34,3,1,32,2,0,0,0,0,3,0,0,5
00032_fused_tiled_linear_relu_base.ptx,6.85,8.5,sm_87,1,130,24,67,0,4,LOW,1.0,8.5,1.132,0.0,AI_TRAINING,51,45,34,3,1,32,2,0,0,0,0,3,0,0,5
00033_grid3d_conv2d_relu_bias_base_base.ptx,7.38,8.5,sm_87,1,127,28,57,0,17,LOW,1.0,0.0,2.941,0.0,AI_TRAINING,62,30,35,16,1,0,0,0,0,0,0,6,0,0,11
00033_shared_memory_relu_base.ptx,2.49,8.5,sm_87,1,24,18,9,0,2,LOW,1.0,2.0,0.833,0.0,AI_TRAINING,6,8,10,1,1,2,2,0,0,0,0,1,0,0,1
00033_stride_loop_optimization_base_base.ptx,12.19,8.5,sm_87,2,293,31,111,0,18,LOW,1.0,3.667,1.226,0.0,AI_TRAINING,125,92,76,16,2,64,2,0,0,0,0,8,0,0,19
00035_optimized_sync_tiling_base_base.ptx,5.87,8.5,sm_87,1,111,26,61,0,3,LOW,1.0,6.0,1.714,0.0,AI_TRAINING,48,25,38,2,1,16,2,0,0,0,0,3,0,0,8
00035_syncthreads_optimized_base_base.ptx,2.29,8.5,sm_87,1,15,13,6,0,2,LOW,1.0,0.0,2.0,0.0,AI_TRAINING,5,4,6,1,1,0,0,0,0,0,0,1,0,0,1
00036_double_buffered_shared_memory_base.ptx,12.83,8.5,sm_87,1,307,25,215,0,5,LOW,1.0,26.4,0.825,0.0,AI_TRAINING,121,141,45,4,1,128,4,0,0,0,0,4,0,0,7
00036_fused_linear_relu_base.ptx,5.03,8.5,sm_87,1,86,25,34,0,12,LOW,1.0,0.0,2.917,0.0,AI_TRAINING,42,19,25,11,1,0,0,0,0,0,0,6,0,0,6
00036_shared_reduction_conv2d_relu_bias_base_base.ptx,8.18,8.5,sm_87,1,139,34,70,0,5,LOW,1.0,1.4,4.167,0.0,HPC_REDUCTION,59,26,54,4,1,4,3,0,0,0,0,4,0,0,9
00037_constant_memory_conv2d_relu_bias_base_base.ptx,7.25,8.5,sm_87,1,126,29,57,0,9,LOW,1.0,0.0,2.941,0.0,AI_TRAINING,62,28,36,8,1,0,0,0,0,0,0,5,0,0,11
00037_shared_memory_optim_relu_base.ptx,2.48,8.5,sm_87,1,21,18,9,0,2,LOW,1.0,1.0,1.25,0.0,AI_TRAINING,6,6,9,1,1,1,1,0,0,0,0,1,0,0,1
00037_shared_memory_optimization_base_base.ptx,8.03,8.5,sm_87,1,170,22,111,0,3,LOW,1.0,22.0,0.812,0.0,AI_TRAINING,64,73,33,2,1,64,2,0,0,0,0,2,0,0,5
00038_aligned_ldg_relu_base_base.ptx,2.35,8.5,sm_87,1,16,13,6,0,2,LOW,1.0,0.0,2.5,0.0,AI_TRAINING,6,4,6,1,1,0,0,0,0,0,0,1,0,0,1
00038_load_balanced_tile_allocation_base.ptx,7.96,8.5,sm_87,1,168,24,111,0,3,LOW,1.0,22.0,0.812,0.0,AI_TRAINING,62,73,33,2,1,64,2,0,0,0,0,3,0,0,5
00039_shared_mem_relu_fusion_base.ptx,2.54,8.5,sm_87,1,26,18,9,0,2,LOW,1.0,2.0,0.833,0.0,AI_TRAINING,6,8,12,1,1,2,2,0,0,0,0,1,0,0,3
00039_shared_sync_conv2d_relu_bias_base.ptx,8.96,8.5,sm_87,1,175,36,95,0,11,LOW,1.0,0.727,3.737,0.0,AI_TRAINING,90,32,53,10,1,7,1,0,0,0,0,5,0,0,15
00040_shared_memory_optimization_relu_base.ptx,2.69,8.5,sm_87,1,25,19,10,0,3,LOW,1.0,0.667,0.8,0.0,AI_TRAINING,6,7,12,1,2,1,1,0,0,0,0,1,0,0,2
00040_unrolled_manual_conv2d_relu_bias_base.ptx,7.96,8.5,sm_87,1,130,29,62,0,17,LOW,1.0,0.0,3.176,0.0,AI_TRAINING,66,31,33,16,1,0,0,0,0,0,0,6,0,0,12
00041_optimized_block_size_base.ptx,7.85,8.5,sm_87,1,170,22,111,0,3,LOW,1.0,22.0,0.812,0.0,AI_TRAINING,64,73,33,2,1,64,2,0,0,0,0,2,0,0,5
00041_strided_mlp_base.ptx,6.76,8.5,sm_87,1,150,28,60,0,26,LOW,1.0,0.0,2.923,0.0,AI_TRAINING,88,33,29,20,6,0,0,0,0,0,0,14,0,0,12
00042_stream_conv2d_base.ptx,7.11,8.5,sm_87,1,125,29,57,0,17,LOW,1.0,0.0,3.059,0.0,AI_TRAINING,63,31,31,16,1,0,0,0,0,0,0,6,0,0,11
00043_streamed_conv2d_base.ptx,7.14,8.5,sm_87,1,125,29,57,0,17,LOW,1.0,0.0,3.059,0.0,AI_TRAINING,63,31,31,16,1,0,0,0,0,0,0,6,0,0,11
00044_optimized_atomic_base.ptx,6.78,8.5,sm_87,1,105,30,54,0,5,LOW,1.0,1.0,4.5,0.0,HPC_STENCIL,52,24,29,4,1,3,2,0,0,0,0,4,0,0,7
00044_warp_uniform_load_base.ptx,6.12,8.5,sm_87,1,124,28,61,0,3,LOW,1.0,11.333,1.081,0.0,AI_TRAINING,54,41,29,2,1,32,2,0,0,0,0,3,0,0,3
00047_streamed_conv2d_edit_1.ptx,7.16,8.5,sm_87,1,125,29,57,0,17,LOW,1.0,0.0,3.059,0.0,AI_TRAINING,63,31,31,16,1,0,0,0,0,0,0,6,0,0,11
00048_optimized_atomic_edit_1.ptx,7.42,8.5,sm_87,1,128,34,74,0,5,LOW,1.0,0.4,7.286,0.0,HPC_REDUCTION,60,21,47,4,1,1,1,0,0,0,0,4,0,0,10
00048_warp_uniform_load_edit_1.ptx,6.14,8.5,sm_87,1,124,28,61,0,3,LOW,1.0,11.333,1.081,0.0,AI_TRAINING,54,41,29,2,1,32,2,0,0,0,0,3,0,0,3
00049_stride_loop_optimization_base.ptx,12.88,8.5,sm_87,1,317,24,221,0,6,LOW,1.0,22.0,0.761,0.0,AI_TRAINING,119,142,56,4,2,128,4,0,0,0,0,5,0,0,13
00050_evenly_distributed_conv2d_base.ptx,7.66,8.5,sm_87,1,130,29,62,0,17,LOW,1.0,0.0,3.176,0.0,AI_TRAINING,66,31,33,16,1,0,0,0,0,0,0,6,0,0,12
00050_pipelined_mlp_base.ptx,6.78,8.5,sm_87,1,150,28,60,0,26,LOW,1.0,0.0,2.923,0.0,AI_TRAINING,88,33,29,20,6,0,0,0,0,0,0,14,0,0,12
00050_regtile_2x2_base.ptx,16.84,8.5,sm_87,1,482,30,240,0,18,LOW,1.0,2.556,2.969,0.0,AI_TRAINING,236,68,178,14,4,32,14,0,0,0,0,16,0,0,33
00051_optimized_thread_block_indexing_base.ptx,7.6,8.5,sm_87,1,125,29,57,0,17,LOW,1.0,0.0,3.059,0.0,AI_TRAINING,63,31,31,16,1,0,0,0,0,0,0,6,0,0,11
00051_tiled_mlp_base.ptx,6.52,8.5,sm_87,1,129,24,66,0,4,LOW,1.0,8.5,1.132,0.0,AI_TRAINING,51,45,33,3,1,32,2,0,0,0,0,3,0,0,5
00052_shared_conv2d_tile_base.ptx,9.18,8.5,sm_87,1,188,33,107,0,15,LOW,1.0,0.8,2.963,0.0,AI_TRAINING,97,40,51,14,1,7,5,0,0,0,0,7,0,0,16
00053_regtile_no_div_base.ptx,18.91,8.5,sm_87,1,531,33,269,0,18,LOW,1.0,2.556,3.859,0.0,AI_TRAINING,321,68,142,14,4,32,14,0,0,0,0,16,0,0,19
00054_evenly_distributed_conv2d_edit_1.ptx,7.68,8.5,sm_87,1,130,29,62,0,17,LOW,1.0,0.0,3.176,0.0,AI_TRAINING,66,31,33,16,1,0,0,0,0,0,0,6,0,0,12
00055_optimized_thread_block_indexing_edit_1.ptx,7.62,8.5,sm_87,1,125,29,57,0,17,LOW,1.0,0.0,3.059,0.0,AI_TRAINING,63,31,31,16,1,0,0,0,0,0,0,6,0,0,11
00055_regtile_2x2_optimized_sync_base.ptx,23.33,8.5,sm_87,1,622,29,337,0,18,LOW,1.0,7.889,1.744,0.0,AI_TRAINING,319,165,138,14,4,128,14,0,0,0,0,16,0,0,26
00055_tiled_mlp_edit_1.ptx,6.51,8.5,sm_87,1,128,25,66,0,4,LOW,1.0,8.5,1.158,0.0,AI_TRAINING,51,45,32,3,1,32,2,0,0,0,0,3,0,0,5
00056_regtile_no_div_edit_1.ptx,26.5,8.5,sm_87,1,724,32,351,0,18,LOW,1.0,7.889,2.144,0.0,AI_TRAINING,416,165,143,14,4,128,14,0,0,0,0,16,0,0,18
00056_shared_conv2d_tile_edit_1.ptx,9.22,8.5,sm_87,1,188,33,107,0,15,LOW,1.0,0.8,2.963,0.0,AI_TRAINING,97,40,51,14,1,7,5,0,0,0,0,7,0,0,16
00056_streamed_mlp_edit_1.ptx,6.79,8.5,sm_87,1,150,28,60,0,26,LOW,1.0,0.0,2.923,0.0,AI_TRAINING,88,33,29,20,6,0,0,0,0,0,0,14,0,0,12
00057_grid3d_conv2d_nodivergence_edit_1_base.ptx,7.46,8.5,sm_87,1,127,28,57,0,17,LOW,1.0,0.0,2.941,0.0,AI_TRAINING,62,30,35,16,1,0,0,0,0,0,0,6,0,0,11
00057_warp_divergence_optimized_mlp_base.ptx,6.72,8.5,sm_87,1,129,25,67,0,4,LOW,1.0,8.5,1.158,0.0,AI_TRAINING,51,45,33,3,1,32,2,0,0,0,0,3,0,0,5
00058_coalesced_tiled_mlp_base.ptx,8.57,8.5,sm_87,1,177,25,114,0,4,LOW,1.0,16.5,0.857,0.0,AI_TRAINING,68,77,32,3,1,64,2,0,0,0,0,3,0,0,5
00058_cooperative_atomic_conv2d_base.ptx,6.35,8.5,sm_87,1,86,25,48,0,5,LOW,1.0,0.4,6.429,0.0,AI_TRAINING,48,21,17,4,1,1,1,0,0,0,0,4,0,0,4
00058_regtile_2x2_optimized_sync_edit_1.ptx,23.35,8.5,sm_87,1,622,29,337,0,18,LOW,1.0,7.889,1.744,0.0,AI_TRAINING,319,165,138,14,4,128,14,0,0,0,0,16,0,0,26
00059_coalesced_tiled_matmul_base.ptx,6.25,8.5,sm_87,1,123,22,63,0,3,LOW,1.0,11.333,1.054,0.0,AI_TRAINING,47,41,35,2,1,32,2,0,0,0,0,2,0,0,5
00059_optimized_thread_block_indexing_sync_base.ptx,7.51,8.5,sm_87,1,125,29,57,0,17,LOW,1.0,0.0,3.059,0.0,AI_TRAINING,63,31,31,16,1,0,0,0,0,0,0,6,0,0,11
00059_tiled_mlp_doublebuf_base.ptx,10.22,8.5,sm_87,1,233,29,111,0,6,LOW,1.0,12.0,1.103,0.0,AI_TRAINING,96,85,52,5,1,64,8,0,0,0,0,4,0,0,7
00060_ldg_aligned_conv2d_base.ptx,8.86,8.5,sm_87,1,161,29,74,0,17,LOW,1.0,0.0,5.412,0.0,AI_TRAINING,103,31,27,16,1,0,0,0,0,0,0,13,0,0,11
00060_tiled_mlp_unroll_base.ptx,6.6,8.5,sm_87,1,129,25,66,0,4,LOW,1.0,8.5,1.158,0.0,AI_TRAINING,52,45,32,3,1,32,2,0,0,0,0,3,0,0,5
00060_warp_level_matmul_base.ptx,5.33,8.5,sm_87,1,111,26,48,0,11,LOW,1.0,0.0,3.636,0.0,HPC_REDUCTION,48,15,48,10,1,0,0,0,0,0,0,7,0,0,7
00061_32x32_tiled_matmul_unroll_base.ptx,7.84,8.5,sm_87,1,170,22,111,0,3,LOW,1.0,22.0,0.812,0.0,AI_TRAINING,64,73,33,2,1,64,2,0,0,0,0,2,0,0,5
00061_grid3d_conv2d_nodivergence_edit_1_edit_1.ptx,7.48,8.5,sm_87,1,127,28,57,0,17,LOW,1.0,0.0,2.941,0.0,AI_TRAINING,62,30,35,16,1,0,0,0,0,0,0,6,0,0,11
00061_warp_divergence_optimized_mlp_edit_1.ptx,6.74,8.5,sm_87,1,129,25,67,0,4,LOW,1.0,8.5,1.158,0.0,AI_TRAINING,51,45,33,3,1,32,2,0,0,0,0,3,0,0,5
00062_coalesced_tiled_mlp_edit_1.ptx,8.59,8.5,sm_87,1,177,25,114,0,4,LOW,1.0,16.5,0.857,0.0,AI_TRAINING,68,77,32,3,1,64,2,0,0,0,0,3,0,0,5
00062_cooperative_atomic_conv2d_edit_1.ptx,6.59,8.5,sm_87,1,94,25,52,0,5,LOW,1.0,0.4,6.571,0.0,AI_TRAINING,51,21,22,4,1,1,1,0,0,0,0,4,0,0,6
00063_coalesced_tiled_matmul_edit_1.ptx,16.2,8.5,sm_87,1,419,29,295,0,11,LOW,1.0,15.455,0.762,0.0,AI_TRAINING,159,185,75,10,1,160,10,0,0,0,0,8,0,0,16
00063_optimized_thread_block_indexing_sync_edit_1.ptx,7.53,8.5,sm_87,1,125,29,57,0,17,LOW,1.0,0.0,3.059,0.0,AI_TRAINING,63,31,31,16,1,0,0,0,0,0,0,6,0,0,11
00063_tiled_mlp_doublebuf_edit_1.ptx,10.24,8.5,sm_87,1,233,29,111,0,6,LOW,1.0,12.0,1.103,0.0,AI_TRAINING,96,85,52,5,1,64,8,0,0,0,0,4,0,0,7
00064_ldg_aligned_conv2d_edit_1.ptx,8.88,8.5,sm_87,1,161,29,74,0,17,LOW,1.0,0.0,5.412,0.0,AI_TRAINING,103,31,27,16,1,0,0,0,0,0,0,13,0,0,11
00064_tiled_mlp_unroll_edit_1.ptx,6.62,8.5,sm_87,1,129,24,66,0,4,LOW,1.0,8.5,1.132,0.0,AI_TRAINING,51,45,33,3,1,32,2,0,0,0,0,3,0,0,5
00064_warp_level_matmul_edit_1.ptx,8.92,8.5,sm_87,1,201,29,101,0,27,LOW,1.0,0.0,3.926,0.0,HPC_REDUCTION,115,31,55,26,1,0,0,0,0,0,0,19,0,0,8
00066_memory_coalescing_optimization_edit_1.ptx,6.55,8.5,sm_87,1,133,25,60,0,3,LOW,1.0,11.667,1.105,0.0,AI_TRAINING,50,42,41,2,1,32,3,0,0,0,0,2,0,0,5
00066_optimized_mlp_kernel_base.ptx,6.69,8.5,sm_87,1,128,25,66,0,4,LOW,1.0,8.5,1.158,0.0,AI_TRAINING,51,45,32,3,1,32,2,0,0,0,0,3,0,0,5
